TwitterHandle,City,StateAbrr
@KMPHFOX26,Fresno,CA
@Pro8NewsToday,Laredo,TX
@WCNY,Syracuse,NY
@WLIW21,New York City,NY
@ThirteenNY,New York City,NY
@wfyi,Indianapolis,IN
@myphl17news,Philadelphia,PA
@DC50_WDCW,Washington,DC
@TelecareTV,New York City,NY
@KFDMNews,Beaumont,TX
@KOHDNews,Bend,OR
@KTVZ,Bend,OR
@kfvsnews,Cape Girardeau,MO
@WMTWTV,Portland,ME
@FOX25News,Boston,MA
@WKRN,Nashville,TN
@FoxEugene,Eugene,OR
@LowcountryCW,Charleston,SC
@TheFace_of_CW,Austin,TX
@ktla,Los Angeles,CA
@CBS4miami,Miami,FL
@WRCB,Chattanooga,TN
@8NEWS,Richmond,VA
@wyffnews4,Greenville,SC
@kslcom,Salt Lake City,UT
@WFTV,Orlando,FL
@CW28tv,Providence,RI
@MadisonsCW,Madison,WI
@CW_network,Burbank,CA
@wqad,Moline,IL
@ktvq,Billings,MT
@KBZK,Bozeman,MT
@krtv,Great Falls,MT
@kpaxnews,Missoula,MT
@KOIN_Local_6,Portland,OR
@wnep,Scranton,PA
@WKBW,Buffalo,NY
@woub,Athens,OH
@arizonapbs,Phoenix,AZ
@kolr10ksfxnews,Springfield,MO
@kolr10ksfxnews,Springfield,MO
@ArkansasMatters,LIttle Rock,AR
@5NEWS,Ft. Smith,AR
@WCTE,Cookeville,TN
@KPTS,Wichita,KS
@CatholicTV,Watertown,MA
@rmpbs,Denver,CO
@wilxTV,Lansing,MI
@TheLocalStation,Jacksonville,FL
@WJBF,Augusta,GA
@WLKY,Louisville,KY
@ABC11_WTVD,Durham,NC
@WCIA3News,Champaign,IL
@KCCINews,Des Moines,IA
@WSB_TV,Atlanta,GA
@ABC6NEWS,Austin,MN
@fox5sandiego,San Diego,CA
@WPIX,New York City,NY
@wkbt,La Crosse,WI
@Fox29WFLX,West Palm Beach,FL
@Fox5NewsDesk,Las Vegas,NV
@LEX18News,Lexington,KY
@FOX5Atlanta,Atlanta,GA
@WITN,Greenville,NC
@lpborg,Baton Rouge,LA
@FOX10News,Mobile,AL
@fox15tv,Lafayette,LA
@myfoxal,Birmingham,AL
@PBS39WLVT,Bethlehem,PA
@tpt,Minneapolis,MN
@HoustonPBS,Houston,TX
@wipb,Muncie,IN
@whyy,Philadelphia,PA
@knme,Albuquerque,NM
@KQED,San Francisco,CA
@IowaPublicTV,Des Moines,IA
@wispublictv,Madison,WI
@detroitpublictv,Detroit,MI
@KWBU,Waco,TX
@KTBS,Shreveport,LA
@KATCTV3,Lafayette,LA
@wbaltv11,Baltimore,MD
@WXII,Wintston-Salem,NC
@foxcharlotte,Charlotte,NC
@WAWS,Jacksonville,FL
@13WHAM,Rochester,NY
@WOWT6News,Omaha,NE
@nbcbayareacom,San Francisco,CA
@winknews,Fort Myers,FL
@NBCConnecticut,West Hartford,CT
@ABC36Lexington,Lexington,KY
@local4news,Detroit,MI
@KEZI9,Eugene,OR
@abc7breaking,El Paso,TX
@whiotv,Dayton,OH
@KFOX14,El Paso,TX
@wcnc,Charlotte,NC
@WSOC_TV,Charlotte,NC
@kktv11news,Colorado Springs,CO
@wxyzdetroit,Detroit,MI
@NTVNEWS,Kearney,NE
@fox417,Lincoln,NE
@KHASTV,Hastings,NE
@ksprnews,Springfield,MO
@wsilnews,Carterville,IL
@9newsdotcom,Denver,CO
@EPNewsFirst,Colorado Springs,CO
@KESQ,Palm Springs,CA
@localnews8,Idaho Falls,ID
@WLBT,Jackson,MS
@WJTV,Jackson,MS
@FOX23News,Albany,NY
@WHAS11,Louisville,KY
@NBC_DFW,Dallas,TX
@news10nbc,Rochester,NY
@wsls,Roanoke,VA
@wfrv5,Green Bay,WI
@WISCTV_News3,Madison,WI
@IdahoPublicTV,Boise,ID
@CBS6Albany,Albany,NY
@kplr,St. Louis,MO
@cwphilly,Philadelphia,PA
@33newsdesk,Dallas,TX
@CW20_EastTN,Knoxville,TN
@capitalregioncw,Schenectady,NY
@thevalleyscw,Hunstville,AL
@tristatescw,Charleston,WV
@my50tv,Albuquerque,NM
@WWLTV_com,New Orleans,LA
@newmexicoscw,Albuquerque,NM
@CBS2NEWS,Boise,ID
@KVALnews,Eugene,OR
@My9newsat9,Baton Rouge,LA
@KPLC,Lake Charles,LA
@10NewsKTEN,Sherman,TX
@ktva,Anchorage,AK
@KJRH2HD,Tulsa,OK
@kfor,Oklahoma City,OK
@KTULNews,Tulsa,OK
@myfoxla,Los Angeles,CA
@WSAW,Wausau,WI
@WGME,Portland,ME
@MyFOXMaine,Portland,ME
@WABI_TV5,Bangor,ME
@WLBZ2,Bangor,ME
@NewsBoston,Boston,MA
@newschannelnine,Chattanooga,TN
@KTVL,Medford,OR
@wwmt,Grand Rapids,MI
@WGVU,Grand Rapids,MI
@cw30,Memphis,TN
@cw29,DTV3,</a>
@fox61,Hartford,CT
@fox59,Indianapolis,IN
@KDVR,Denver,CO
@fox23,Tulsa,OK
@fox19,Cincinnati,OH
@fox17,Grand Rapids,MI
@cbs47,Fresno,CA
@nbc33,Baton Rouge,LA
@APTV,Birmingham,AL
@EWTN,Birmingham,AL
@fox43,York,PA
@todaysthv,Little Rock,AR
@wsfa,Montgomery,AL
@knwanews,Ft. Smith,AR
@wane15,Fort Wayne,IN
@kued,Salt Lake City,UT
@ketc,St. Louis,MO
@wsretv,Pensacola,FL
@KCPT,Kansas City,MO
@wqed,Pittsburgh,PA
@kakm,Anchorage,AK
@kmtr,Eugene,OR
@cw18tv,Orlando,FL
@NBC29,Charlottesville,VA
@NBC10,Providence,RI
@kwch12,Wichita,KS
@wjtwNC11,Columbia,SC
@KCTV5,Kansas City,MO
@talkto10,Miami,FL
@NBC2,Fort Myers,FL
@ABC6,Providence,RI
@wmbbnews,Panama City,FL
@kmov,St. Louis,MO
@NEWS9,Oklahoma City,OK
@KRNV,Reno,NV
@ktnv,Las Vegas,NV
@KING5Seattle,Seattle,WA
@KATUNews,Portland,OR
@komonews,Seattle,WA
@kgtv,San Diego,CA
@wvlt,Knoxville,TN
@WCPO,Cincinnati,OH
@News_8,Rochester,NY
@WENYTV,Elmira,NY
@WNYT,Albany,NY
@wsaznews,Charleston,WV
@NEWSCHANNEL_13,Colorado Springs,CO
@SanDiego6,San Diego,CA
@local6news,Orlando,FL
@fox4wdaf,Kansas City,MO
@KMBC,Kansas City,MO
@kakenews,Wichita,KS
@KOLO_8_News_Now,Reno,NV
@KIRO7Seattle,Seattle,WA
@NWCN,Seattle,WA
@Q13FOX,Seattle,WA
@WYMT,Hazard,KY
@nbc15_madison,Madison,WI
@KSWT,Yuma,AZ
@CBS19,Charlottesville,VA
@WHSVnews,Harrisonburg,VA
@WSMV,Nashville,TN
@KGAN_CBS2,Cedar Rapids,IA
@TV3WINCHESTER,Winchester,VA
@nbc12,Richmond,VA
@13News,Norfolk,VA
@WDBJ7,Roanoke,VA
@azfamily,Phoenix,AZ
@ABC5_WOI,Des Moines,IA
@KWWL,Cedar Rapids,IA
@wqow,Eau Claire,WI
@ktivnews,Sioux City,IA
@WKOW,Madison,WI
@KTTCTV,Rochester,NY
@wxow,La Cross,WI
@13WREX,Rockford,IL
@KBTXNews,Bryan,TX
@WJHG_TV,Panama City,FL
@wjcl,Savannah,GA
@WTVM,Columbus,GA
@keyc,Mankato,MN
@NewsCenter1,Rapid City,SD
@KSTP,Minneapolis,MN
@NBCphiladelphia,Philadelphia,PA
@kare11,Minneapolis,MN
@KSFYActionNews,Sioux Falls,SD
@keloland,Sioux Falls,SD
@KVII,Amarillo,TX
@cw56,Boston,MA
@7News,Boston,MA
@KXRM,Colorado Springs,CO
@ConnectMidMich,Flint,MI
@HOI19News,Peoria,IL
@49news,Topeka,KS
@fox8news,Cleveland,OH
@myfoxhouston,Houston,TX
@WEWS,Cleveland,OH
@wapatv,San Juan,PR
@CNYcentral,Syracuse,NY
@upnorthlive,Traverse City,MI
@wluctv6,Marquette,MI
@CarolinaLive,Myrtle Beach,SC
@WOSU,Columbus,OH
@14News,Evansville,IN
@KPBSNews,San Diego,CA
@News2Colorado,Denver,CO
@NEWS25,Evansville,IN
@WNIN,Evansville,IN
@KLTV7,Tyler,TX
@KSLA,Shreveport,LA
@krcg,Columbia,MO
@KOMUnews,Columbia,MO
@krem2,Spokane,WA
@KXLY4NEWS,Spokane,WA
@khqrightnow,Spokane,WA
@abc7chicago,Chicago,IL
@WGNNews,Chicago,IL
@kxiitv,Sherman,TX
@cnn,Atlanta,GA
@KHQA,Quincy,IL
@KTVO,Kirksville,IA
@wcax,Burlington,VT
@abcactionnews,Tampa,FL
@wibw,Topeka,KS
@ktvx,Salt Lake City,UT
@MyFoxTampaBay,Tampa,FL
@waff48,Hunstville,AL
@KHNLnews8,Honolulu,HI
@wcsc_tv,Charleston,SC
@wis10,Columbia,SC
@abc27,Tallahassee,FL
@waaytv,Hunstville,AL
@WGRZ,Buffalo,NY
@WKYT,Lexington,KY
@WSBT,Mishawaka,IN
@NewsOn6,Tulsa,OK
@WCSH6,Portland,ME
@News_Channel_7,Spartanburg,SC
@myfoxphoenix,Phoenix,AZ
@WTHRcom,Indianapolis,IN
@WKRG,Mobile,AL
@kvbc,Las Vegas,NV
@NBCLosAngeles,Los Angeles,CA
@nbc6hd,Miami,FL
@wdtn,Dayton,OH
@news4buffalo,Buffalo,NY
@WWLP,Springfield,MA
@WOODTV,Grand Rapids,MI
@WTNH,New Haven,CT
@FOXToledo,Toledo,OH
@13abc,Toledo,OH
@nbc24,Toledo,OH
@cbsatlanta,Atlanta,GA
@newschannel15,Savannah,GA
@newswest9,Midland,TX
@WTOC11,Savannah,GA
@wpri12,Providence,RI
@KGWNewsChannel8,Portland,OR
@wpxi,Pittsburgh,PA
@kdka,Pittsburgh,PA
@wwsbabc7,Sarasota,FL
@fox6now,Milwaukee,WI
@WMFLNC6,Miami,FL
@WTHI_News10,Terre Haute,IN
@News4WOAI,San Antonio,TX
@FOX12,Boise,ID
@BN9,St. Petersburg,FL
@cfnews13,Orlando,FL
@wrblnews3,Columbus,GA
@11AliveNews,Atlanta,GA
@WALBNews10,Albany,GA
@NBC17,Raleigh,NC
@WRAL_Top,Raleigh,NC
@abc2news,Baltimore,MD
@abc7newsBayArea,San Francisco,CA
@kron4news,San Francisco,CA
@KOB4,Albuquerque,NM
@10TV,Columbus,OH
@DenverChannel,Denver,CO
@azcentral,Phoenix,AZ
@keratx,Dallas,TX
@wfxl,Albany,GA
@6News,Knoxville,TN
@3onyourside,Memphis,TN
@wdsu,New Orleans,LA
@WESH,Orlando,FL
@ABC7News,Washington,DC
@PittsburghNews4,Pittsburgh,PA
@ktvb,Boise,ID
@NBCNews,New York City,NY
@WPBFNews25,West Palm Beach,FL
@WGAL,Lancaster,PA
@KETV,Omaha,NE
@WMUR9,Manchester,NH
@ksbw,Salinas,CA
@NBCNEWYORKTwit,New York City,NY
@nbcchicago,Chicago,IL
@nbcsandiego,San Diego,CA
@nbclocaldc,Washington,DC
@wdam,Moselle,MS
@KOLDnews13,Tucson,AZ
@wsee,Erie,PA
@CBS12,West Palm Beach,FL
@WICU12,Erie,PA
@FOX16News,Little Rock,AR
@KATVNews,Little Rock,AR
@wzzm13,Grand Rapids,MI
@kcrg,Cedar Rapids,IA
@Region8News,Jonesboro,AR
@WTOL,Toledo,OH
@nbc4i,Columbus,OH
@CBS6,Richmond,VA
@actionnews5,Memphis,TN
@WAVY_News,Portsmouth,VA
@news14coastal,Wilmington,NC
@KTREnews,Lufkin,TX
@WLOX,Biloxi,MS
@wectnews,Wilmington,NC
@WBTV_News,Charlotte,NC
@kcranews,Sacramento,CA
@Local12,Cincinnati,OH
@ktvu,Oakland,CA
@News10_CA,Sacramento,CA
@FOX40,Sacramento,CA
@wcbstv,New York City,NY
@cbs4denver,Denver,CO
@krgv,Weslaco,TX
@cbs3,Philadelphia,PA
@cbs5,San Francisco,CA
@lasvegasnow,Las Vegas,NV
@kgbt,Harlingen,TX
@kwtx,Waco,TX
@10connects,Tampa,FL
@newschannel9,Syracuse,NY
@FOX2now,St. Louis,MO
@wndu,South Bend,IN
@WSAV,Savannah,GA
@ksatnews,San Antonio,TX
@klrn,San Antonio,TX
@fox12oregon,Portland,OR
@kpho,Phoenix,AZ
@abc15,Phoenix,AZ
@FOX29,Philadelphia,PA
@6abc,Philadelphia,PA
@myfoxorlando,Orlando,FL
@MyFoxNY,New York City,NY
@eyewitnessnyc,New York City,NY
@foxnews,New York City,NY
@CBSnews,New York City,NY
@wmbfnews,Myrtle Beach,SC
@wsvn,Miami,FL
@MyFOX9,Minneapolis,MN
@abc24,Memphis,TN
@myfoxmemphis,Memphis,TN
@foxrio2,McAllen,TX
@ABC13News,Lynchburg,VA
@wave3news,Louisville,KY
@abc7,Los Angeles,CA
@wbir,Knoxville,TN
@WISH_News,Indianapolis,IN
@KTRKHouston,Houston,TX
@khou,Houston,TX
@KITV4,Honolulu,HI
@KGMB9,Honolulu,HI
@wfaachannel8,Dallas,TX
@cbs11news,Dallas,TX
@FOX4,Dallas,TX
@wkyc,Cleveland,OH
@wachfoxnews,Columbia,SC
@wlwt,Cincinnati,OH
@foxchicago,Chicago,IL
@cbs2chicago,Chicago,IL
@ABCNews4,Charleston,SC
@wcbd,Charleston,SC
@wbz,Boston,MA
@NECN,Boston,MA
@NBC13,Birmingham,AL
@CBS42,Birmingham,AL
@abc3340,Birmingham,AL
@WAFB,Baton Rouge,LA
@News8Austin,Austin,TX
@KXAN_News,Austin,TX
@foxaustin,Austin,TX
@KVUE,Austin,TX
@keyetv,Austin,TX
@klru,Austin,TX
@WRDW,Augusta,GA
@NewsChannel10,Amarillo,TX
@69News,Allentown,PA
@koat,Albuquerque,NM
@krqe,Albuquerque,NM
@NewsChannel25,Waco,TX
@pbs,Washington,DC
@NewsChannel8,Washington,DC
@myfoxdc,Washington,DC
@wusa9,Washington,DC
@WPTV,West Palm Beach,FL
@myfox8,Winston-Salem,NC
@whptv,Harrisburg,PA
@WCCOBreaking,Minneapolis,MN
@CBS13rightnow,Sacramento,CA
@wcbinews,Columbus,MS
