,FIPS,County Name,Agency name,State,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes,FIPS_block
363,06013,Contra Costa,Pleasant Hill,California,37.9479786,-122.06079629999999,0.0,0.0,0.0,1.0,0.0,1.0,060133230001009
360,06013,Contra Costa,Pittsburg,California,38.027976200000005,-121.88468059999998,1.0,0.0,1.0,0.0,0.0,2.0,060133100002007
153,06013,Contra Costa,Clayton,California,37.9410341,-121.9357925,0.0,0.0,0.0,0.0,0.0,0.0,060133553063001
359,06013,Contra Costa,Pinole,California,38.0043667,-122.29885870000001,1.0,1.0,0.0,0.0,0.0,2.0,060133591023013
79,06013,Contra Costa,Antioch,California,38.0049214,-121.80578899999999,2.0,2.0,2.0,7.0,2.0,15.0,060133060032004
162,06013,Contra Costa,Concord,California,37.9779776,-122.0310733,0.0,1.0,0.0,4.0,1.0,6.0,060133280001015
362,06017,El Dorado,Placerville,California,38.7296252,-120.798546,1.0,0.0,0.0,0.0,0.0,1.0,060170312003000
497,06017,El Dorado,South Lake Tahoe,California,38.939926,-119.9771868,0.0,1.0,0.0,0.0,0.0,1.0,060170302002032
376,06019,Fresno,Reedley,California,36.5963395,-119.45040290000001,1.0,0.0,0.0,0.0,0.0,1.0,060190066023028
157,06019,Fresno,Coalinga,California,36.139678,-120.3601496,0.0,0.0,1.0,0.0,0.0,1.0,060190080002055
155,06019,Fresno,Clovis,California,36.8252277,-119.70291940000001,1.0,2.0,0.0,2.0,1.0,6.0,060190056021036
212,06019,Fresno,Firebaugh,California,36.8588376,-120.45600719999999,0.0,0.0,0.0,1.0,0.0,1.0,060190084012001
352,06019,Fresno,Parlier,California,36.6116174,-119.52707340000002,0.0,0.0,0.0,0.0,0.0,0.0,060190068023046
267,06019,Fresno,Kingsburg,California,36.5138398,-119.5540175,0.0,0.0,0.0,0.0,1.0,1.0,060190072013033
266,06019,Fresno,Kerman,California,36.72355719999999,-120.05987900000001,0.0,0.0,0.0,0.0,0.0,0.0,060190040022018
219,06019,Fresno,Fowler,California,36.630505799999995,-119.6784697,1.0,0.0,0.0,0.0,0.0,1.0,060190016002023
490,06019,Fresno,Selma,California,36.5707838,-119.61207649999999,0.0,0.0,0.0,1.0,0.0,1.0,060190070023019
221,06019,Fresno,Fresno,California,36.737798100000006,-119.78712469999999,6.0,6.0,9.0,7.0,10.0,38.0,060190006004049
341,06021,Glenn,Orland,California,39.747380299999996,-122.19637479999999,1.0,0.0,0.0,0.0,0.0,1.0,060210101001066
254,06023,Humboldt,Humboldt State University,California,40.8752748,-124.077821,0.0,0.0,0.0,2.0,2.0,4.0,060230010002008
82,06023,Humboldt,Arcata,California,40.866516600000004,-124.0828396,1.0,0.0,1.0,0.0,2.0,4.0,060230010003021
209,06023,Humboldt,Eureka,California,40.80207120000001,-124.16367290000001,3.0,1.0,1.0,2.0,0.0,7.0,060230005001119
257,06025,Imperial,Imperial,California,32.8475528,-115.56943909999998,0.0,0.0,0.0,1.0,0.0,1.0,060250110002051
252,06025,Imperial,Holtville,California,32.811161199999994,-115.3802643,0.0,1.0,0.0,0.0,0.0,1.0,060250109005008
88,06029,Kern,Bakersfield,California,35.3732921,-119.0187125,2.0,3.0,5.0,1.0,8.0,19.0,060290016002095
505,06029,Kern,Tehachapi,California,35.1321877,-118.44897390000001,1.0,2.0,1.0,0.0,0.0,4.0,060290061001006
379,06029,Kern,Ridgecrest,California,35.6224561,-117.6708966,0.0,0.0,0.0,0.0,1.0,1.0,060290054035000
83,06029,Kern,Arvin,California,35.201798600000004,-118.833105,0.0,0.0,0.0,0.0,0.0,0.0,060290063041011
504,06029,Kern,Taft,California,35.142467100000005,-119.4565078,2.0,0.0,1.0,0.0,0.0,3.0,060290035001035
282,06031,Kings,Lemoore,California,36.3007835,-119.7829107,0.0,1.0,0.0,1.0,0.0,2.0,060310004045076
164,06031,Kings,Corcoran,California,36.098007,-119.56040149999998,0.0,1.0,0.0,0.0,0.0,1.0,060310014021000
241,06031,Kings,Hanford,California,36.3274502,-119.64568440000001,1.0,1.0,0.0,3.0,1.0,6.0,060310009005063
154,06033,Lake,Clearlake,California,38.9582307,-122.62637279999998,4.0,1.0,1.0,7.0,1.0,14.0,060330008021003
235,06037,Los Angeles,Glendora,California,34.136118700000004,-117.86533899999999,0.0,1.0,0.0,1.0,0.0,2.0,060374010023033
256,06037,Los Angeles,Huntington Park,California,33.981681200000004,-118.22507250000001,0.0,0.0,0.0,3.0,0.0,3.0,060375326053001
287,06037,Los Angeles,Lomita,California,33.792239200000004,-118.3150722,2.0,1.0,1.0,1.0,0.0,5.0,060376700022009
288,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,3.0,4.0,6.0,6.0,4.0,23.0,060375759021025
319,06037,Los Angeles,Monrovia,California,34.14426160000001,-118.0019482,2.0,0.0,1.0,0.0,0.0,3.0,060374311003004
289,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,3.0,4.0,6.0,6.0,2.0,21.0,060375759021025
321,06037,Los Angeles,Montebello,California,34.0165053,-118.11375349999999,0.0,0.0,0.0,1.0,0.0,1.0,060375301023000
290,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,3.0,1.0,6.0,6.0,4.0,20.0,060375759021025
491,06037,Los Angeles,Sierra Madre,California,34.1616729,-118.0528456,0.0,0.0,1.0,0.0,0.0,1.0,060374305022003
291,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,3.0,1.0,6.0,6.0,2.0,18.0,060375759021025
260,06037,Los Angeles,Industry,California,34.0197335,-117.95867539999999,0.0,0.0,0.0,1.0,0.0,1.0,060374082022078
292,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,1.0,4.0,6.0,6.0,4.0,21.0,060375759021025
323,06037,Los Angeles,Monterey Park,California,34.0625106,-118.1228476,1.0,0.0,1.0,3.0,0.0,5.0,060374822011004
293,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,1.0,4.0,6.0,6.0,2.0,19.0,060375759021025
204,06037,Los Angeles,El Segundo,California,33.9191799,-118.4164652,0.0,0.0,0.0,1.0,2.0,3.0,060376201021021
203,06037,Los Angeles,El Monte,California,34.0686206,-118.02756670000001,3.0,5.0,5.0,2.0,0.0,15.0,060374333042005
280,06037,Los Angeles,Lawndale,California,33.887237,-118.3525744,1.0,0.0,0.0,0.0,0.0,1.0,060376040011000
261,06037,Los Angeles,Inglewood,California,33.9616801,-118.3531311,0.0,0.0,0.0,0.0,0.0,0.0,060376010012031
301,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,1.0,79.0,99.0,142.0,155.0,476.0,060372074001033
294,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,1.0,1.0,6.0,6.0,4.0,18.0,060375759021025
297,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,83.0,79.0,99.0,142.0,155.0,558.0,060372074001033
271,06037,Los Angeles,La Puente,California,34.0200114,-117.94950829999999,0.0,0.0,1.0,0.0,0.0,1.0,060374077022005
242,06037,Los Angeles,Hawaiian Gardens,California,33.8314045,-118.07284240000001,2.0,4.0,1.0,2.0,0.0,9.0,060375552111000
243,06037,Los Angeles,Hawthorne,California,33.9164032,-118.35257479999999,2.0,0.0,0.0,3.0,1.0,6.0,060376024021000
234,06037,Los Angeles,Glendale,California,34.1425078,-118.255075,1.0,1.0,2.0,1.0,2.0,7.0,060373023022000
302,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,1.0,79.0,99.0,142.0,3.0,324.0,060372074001033
232,06037,Los Angeles,Gardena,California,33.8883487,-118.30896240000001,1.0,0.0,1.0,0.0,0.0,2.0,060376030061014
303,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,1.0,79.0,99.0,5.0,155.0,339.0,060372074001033
295,06037,Los Angeles,Long Beach,California,33.770050399999995,-118.1937395,1.0,1.0,6.0,6.0,2.0,16.0,060375759021025
304,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,1.0,79.0,99.0,5.0,3.0,187.0,060372074001033
306,06037,Los Angeles,Lynwood,California,33.930293,-118.21146029999998,1.0,1.0,2.0,0.0,0.0,4.0,060375403003008
270,06037,Los Angeles,La Mirada,California,33.9172357,-118.01200859999999,1.0,3.0,0.0,2.0,2.0,8.0,060375036012017
307,06037,Los Angeles,Malibu,California,34.025921600000004,-118.7797571,0.0,1.0,1.0,1.0,2.0,5.0,060378004081027
299,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,83.0,79.0,99.0,5.0,155.0,421.0,060372074001033
298,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,83.0,79.0,99.0,142.0,3.0,406.0,060372074001033
309,06037,Los Angeles,Manhattan Beach,California,33.884736100000005,-118.41090890000001,0.0,1.0,0.0,1.0,0.0,2.0,060376203056038
248,06037,Los Angeles,Hermosa Beach,California,33.8622366,-118.39951940000002,1.0,0.0,0.0,1.0,0.0,2.0,060376211042003
496,06037,Los Angeles,South Gate,California,33.954737,-118.21201609999999,1.0,1.0,0.0,2.0,1.0,5.0,060375357024005
300,06037,Los Angeles,Los Angeles,California,34.0522342,-118.24368490000002,83.0,79.0,99.0,5.0,3.0,269.0,060372074001033
278,06037,Los Angeles,Lakewood,California,33.853626899999995,-118.13395630000001,3.0,2.0,0.0,2.0,3.0,10.0,060375708005016
334,06037,Los Angeles,Northridge,California,34.2381251,-118.530123,3.0,0.0,0.0,1.0,0.0,4.0,060371151031007
357,06037,Los Angeles,Pico Rivera,California,33.9830688,-118.09673500000001,0.0,1.0,1.0,0.0,0.0,2.0,060375008004015
161,06037,Los Angeles,Compton,California,33.8958492,-118.2200712,1.0,1.0,3.0,1.0,0.0,6.0,060375425021000
160,06037,Los Angeles,Commerce,California,34.0005691,-118.1597929,0.0,0.0,0.0,0.0,0.0,0.0,060375323031034
151,06037,Los Angeles,City of Angels,California,34.0522342,-118.24368490000002,0.0,0.0,1.0,0.0,0.0,1.0,060372074001033
145,06037,Los Angeles,Cerritos,California,33.858348299999996,-118.0647871,1.0,3.0,0.0,0.0,0.0,4.0,060375545161010
143,06037,Los Angeles,Carson,California,33.8316745,-118.28169299999999,3.0,1.0,2.0,3.0,0.0,9.0,060375435012006
364,06037,Los Angeles,Pomona,California,34.055103,-117.7499909,2.0,1.0,1.0,0.0,3.0,7.0,060374088002058
369,06037,Los Angeles,Rancho Palos Verdes,California,33.7444613,-118.3870173,1.0,1.0,0.0,2.0,1.0,5.0,060376706022026
279,06037,Los Angeles,Lancaster,California,34.6867846,-118.1541632,7.0,5.0,3.0,5.0,5.0,25.0,060379007032001
374,06037,Los Angeles,Redondo Beach,California,33.8491816,-118.3884078,5.0,4.0,3.0,1.0,0.0,13.0,060376212013006
135,06037,Los Angeles,"California State Polytechnic University, Pomona",California,34.0575651,-117.820741,0.0,0.0,0.0,0.0,0.0,0.0,060374024041041
134,06037,Los Angeles,Calabasas,California,34.1367208,-118.66148090000002,2.0,2.0,0.0,1.0,3.0,8.0,060378002022019
133,06037,Los Angeles,Burbank,California,34.18083920000001,-118.30896609999998,6.0,3.0,1.0,1.0,1.0,12.0,060373107022020
