County,State,"County, State"
Klamath,Oregon,"Klamath, Oregon"
Lake,Oregon,"Lake, Oregon"
Lane,Oregon,"Lane, Oregon"
Lincoln,Oregon,"Lincoln, Oregon"
Linn,Oregon,"Linn, Oregon"
Malheur,Oregon,"Malheur, Oregon"
Marion,Oregon,"Marion, Oregon"
Morrow,Oregon,"Morrow, Oregon"
Multnomah,Oregon,"Multnomah, Oregon"
Polk,Oregon,"Polk, Oregon"
Sherman,Oregon,"Sherman, Oregon"
Tillamook,Oregon,"Tillamook, Oregon"
Umatilla,Oregon,"Umatilla, Oregon"
Union,Oregon,"Union, Oregon"
Wallowa,Oregon,"Wallowa, Oregon"
Wasco,Oregon,"Wasco, Oregon"
Washington,Oregon,"Washington, Oregon"
Wheeler,Oregon,"Wheeler, Oregon"
Yamhill,Oregon,"Yamhill, Oregon"
Bradford County,Pennsylvania,"Bradford County, Pennsylvania"
Bucks County,Pennsylvania,"Bucks County, Pennsylvania"
Butler County,Pennsylvania,"Butler County, Pennsylvania"
Chester County,Pennsylvania,"Chester County, Pennsylvania"
Clarion County,Pennsylvania,"Clarion County, Pennsylvania"
Delaware County,Pennsylvania,"Delaware County, Pennsylvania"
Eerie County,Pennsylvania,"Eerie County, Pennsylvania"
Franklin County,Pennsylvania,"Franklin County, Pennsylvania"
Lebanon County,Pennsylvania,"Lebanon County, Pennsylvania"
Lehigh County,Pennsylvania,"Lehigh County, Pennsylvania"
Lycoming County,Pennsylvania,"Lycoming County, Pennsylvania"
Montgomery County,Pennsylvania,"Montgomery County, Pennsylvania"
Montour County,Pennsylvania,"Montour County, Pennsylvania"
Perry County,Pennsylvania,"Perry County, Pennsylvania"
Philadelphia,Pennsylvania,"Philadelphia, Pennsylvania"
Pike County,Pennsylvania,"Pike County, Pennsylvania"
Westmoreland County,Pennsylvania,"Westmoreland County, Pennsylvania"
Providence,Rhode Island,"Providence, Rhode Island"
Dallas County,Texas,"Dallas County, Texas"
Travis County,Texas,"Travis County, Texas"
Addison,Vermont,"Addison, Vermont"
Bennington,Vermont,"Bennington, Vermont"
Caledonia,Vermont,"Caledonia, Vermont"
Chittenden,Vermont,"Chittenden, Vermont"
Essex,Vermont,"Essex, Vermont"
Franklin,Vermont,"Franklin, Vermont"
Grand Isle,Vermont,"Grand Isle, Vermont"
Lamoille,Vermont,"Lamoille, Vermont"
Orange,Vermont,"Orange, Vermont"
Orleans,Vermont,"Orleans, Vermont"
Rutland,Vermont,"Rutland, Vermont"
Washington,Vermont,"Washington, Vermont"
Windham,Vermont,"Windham, Vermont"
Windsor,Vermont,"Windsor, Vermont"
Arlington County,Virginia,"Arlington County, Virginia"
Chesterfield County,Virginia,"Chesterfield County, Virginia"
Chelan County,Washington,"Chelan County, Washington"
Clallam County,Washington,"Clallam County, Washington"
Clark County,Washington,"Clark County, Washington"
Cowlitz County,Washington,"Cowlitz County, Washington"
Franklin County,Washington,"Franklin County, Washington"
Jefferson County,Washington,"Jefferson County, Washington"
King County,Washington,"King County, Washington"
Kitsap County,Washington,"Kitsap County, Washington"
Pierce County,Washington,"Pierce County, Washington"
San Juan County,Washington,"San Juan County, Washington"
Skagit County,Washington,"Skagit County, Washington"
Snohomish County,Washington,"Snohomish County, Washington"
Spokane County,Washington,"Spokane County, Washington"
Seattle,Washington,"Seattle, Washington"
Thurston County,Washington,"Thurston County, Washington"
Walla Walla County,Washington,"Walla Walla County, Washington"
Wallowa County,Washington,"Wallowa County, Washington"
Whatcom County,Washington,"Whatcom County, Washington"
Yakima County,Washington,"Yakima County, Washington"
