,State,City,Station Identifier,AM/FM,Channel Number,Twitter Handle,Alternate,Latitude,Longitude
793,Indiana,Lafayette,WBAA,AM,920.0,@wbaanews,@wbaaradio,40.4167022,-86.87528689999999
794,Indiana,West Lafayette,WBAA,FM,101.3,@wbaaradio,@wbaanews,40.4258686,-86.90806549999999
795,Illinois,Chicago,WBEZ,FM,91.5,@wbez,,41.8781136,-87.6297982
796,Alabama,Birmingham,WBHM,FM,90.3,@WBHM,,33.5206608,-86.80248999999999
797,Alabama,Gadsden,WSGN,FM,91.5,@WBHM903,,34.014264,-86.0066386
798,Indiana,Fort Wayne,WBNI,FM,89.1,@WBNI941,,41.079273,-85.1393513
799,Indiana,Orland,WBOI,FM,91.3,@wboi,,41.7306059,-85.17163760000001
800,Massachusetts,Boston,WBUR,FM,90.9,@WBUR,,42.3600825,-71.0588801
801,Massachusetts,W.Yarmouth,WBUR,AM,1240.0,@wbur,,41.6501114,-70.2411312
802,Massachusetts,Woods Hole,WCAI,FM,90.1,@wcai_npr,,41.5264977,-70.6730857
803,Illinois,Peoria,WCBU,FM,89.9,@WCBURadio,,40.6936488,-89.5889864
804,Michigan,Alpena,WCML,FM,91.7,@wcmunews,,45.0616794,-83.4327528
805,Michigan,Harbor Springs,WCMW,FM,103.9,@wcmunews,,45.43167589999999,-84.9919992
806,Michigan,Mt. Pleasant,WCMU,FM,89.5,@WCMUNews,@WCMUTV,43.59780749999999,-84.7675139
807,Michigan,Sault Ste. Marie,WCMZ,FM,98.3,@wcmunews,@wcmutv,46.49771150000001,-84.3475876
808,Michigan,Detroit,WDET,FM,101.9,@wdet,,42.331427,-83.0457538
809,Hawaii,Honolulu,KHPR,FM,88.1,@wearehpr,,21.3069444,-157.8583333
810,Hawaii,Honolulu,KIPO,FM,89.3,@wearehpr,,21.3069444,-157.8583333
811,Connecticut,Willimantic,WECS,FM,90.1,@wecsfm,,41.7106543,-72.2081338
812,Michigan,Ypsilanti,WEMU,FM,89.1,@wemu891,,42.2411499,-83.61299389999999
813,District of Columbia,Washington,WETA,FM,90.9,@wetatvfm,,38.9071923,-77.0368707
814,Massachusetts,Amherst,WFCR,FM,88.5,@wfcr885,,42.3732216,-72.5198537
815,Illinois,Champaign,WEFT,FM,90.1,@WFETradio,,40.1164204,-88.2433829
816,Florida,Melbourne,WFIT,FM,89.5,@wfit895fm,,28.0836269,-80.60810889999999
817,Indiana,Bloomington,WFIU,FM,103.7,@wfiu,,39.165325,-86.52638569999999
818,Kentucky,Louisville,WFPK,FM,91.9,@wfpk,,38.2526647,-85.7584557
819,Kentucky,Louisville,WFPL,FM,89.3,@wfplnews,,38.2526647,-85.7584557
820,Florida,Panama City,WFSW,FM,89.1,@wfsu,,30.1588129,-85.6602058
821,Florida,Tallahassee,WFSQ,FM,91.5,@wfsumedia,,30.4382559,-84.28073289999999
822,Florida,Tallahassee,WFSU,FM,88.9,@wfsumedia,,30.4382559,-84.28073289999999
823,Indiana,Indianapolis,WFYI,FM,90.1,@wfyi,,39.768403,-86.158068
824,Massachusetts,Boston,WGBH,FM,89.7,@wgbh,,42.3600825,-71.0588801
825,Florida,Ft. Myers,WGCU,FM,90.1,@wgcu,,26.640628,-81.8723084
826,Illinois,Normal,WGLT,FM,89.1,@wgltnews,,40.5142026,-88.9906312
827,Michigan,Allendale,WGVU,FM,88.5,@WGVUPublicMedia,,42.97219339999999,-85.9540407
828,Michigan,Kentwood,WGVU,AM,1480.0,@WGVUPublicMedia,,42.8694731,-85.64474919999999
829,Alabama,Mobile,WHIL,FM,91.3,@WHILFM,,30.6953657,-88.0398912
830,Massachusetts,Worcester,WICN,FM,90.5,@WICN905,,42.2625932,-71.8022934
831,Illinois,Urbana,WILL,AM,580.0,@willpublicmedia,,40.1105875,-88.2072697
832,Illinois,Urbana,WILL,FM,90.9,@willpublicmedia,,40.1105875,-88.2072697
833,Alabama,Huntsville,WJAB,FM,90.9,@WJAB-TV,,34.7303688,-86.5861037
834,Florida,Jacksonville,WJCT,FM,89.9,@wjctjax,,30.3321838,-81.65565099999999
835,Michigan,East Lansing,WKAR,AM,870.0,@wkar,,42.7369792,-84.48386540000001
836,Michigan,East Lansing,WKAR,FM,90.5,@wkar,,42.7369792,-84.48386540000001
837,Florida,Panama City,WKGC,AM,1480.0,@WKGCNews,,30.1588129,-85.6602058
838,Florida,Panama City,WKGC,FM,90.7,@WKGCNews,,30.1588129,-85.6602058
839,Maryland,Worton,WKHS,FM,90.5,@wkhsradio,,39.2745539,-76.09217009999999
840,Kentucky,Murray,WKMS,FM,91.3,@wkms,,36.6103334,-88.31476099999999
841,Kentucky,Bowling Green,WKYU,FM,88.9,@wkupublicradio,,36.9685219,-86.4808043
842,Kentucky,Elizabethtown,WKUE,FM,90.9,@wkupublicradio,,37.7030646,-85.8649408
843,Kentucky,Henderson,WKPB,FM,89.5,@wkupublicradio,,37.8361538,-87.59001339999999
844,Kentucky,Somerset,WDCL,FM,89.7,@wkupublicradio,,37.0920222,-84.6041084
845,Alabama,Jacksonville,WLJS,FM,91.9,@WLJS_919,,33.8137125,-85.76135359999999
846,Alabama,Huntsville,WLRH,FM,89.3,@WLRH_893FMHD,,34.7303688,-86.5861037
847,Florida,Miami,WLRN,FM,91.3,@wlrn,,25.7616798,-80.1917902
848,Florida,Orlando,WMFE,FM,90.7,@wmfeorlando,,28.5383355,-81.3792365
849,Florida,Tampa,WMNF,FM,88.5,@wmnf,,27.950575,-82.4571776
850,Michigan,Kalamazoo,WMUK,FM,102.1,@wmuk1021,,42.2917069,-85.5872286
851,Illinois,Rockford,WNIJ,FM,89.5,@wnijnews,,42.2711311,-89.0939952
852,Illinois,Rockford,WNIJ,FM,89.5,@wnijnews,,42.2711311,-89.0939952
853,Illinois,Sterling,WNIQ,FM,91.5,@wnijnews,,41.788642,-89.69621939999999
854,Indiana,Evansville,WNIN,FM,88.3,@WNIN,,37.9715592,-87.5710898
855,Kentucky,Highland Heights,WNKU,FM,89.7,@wnku,,39.0331169,-84.4518854
856,Michigan,Marquette,WNMU,FM,90.1,@WNMU,,46.5475825,-87.39559539999999
857,Connecticut,Stamford,WEDW,FM,88.5,@wnpr,,41.0534302,-73.5387341
858,Connecticut,Meriden,WPKT,FM,90.5,@wnpr,,41.5381535,-72.80704349999999
859,Connecticut,Norwich,WNPR,FM,89.1,@wnpr,,41.5242649,-72.07591049999999
860,Florida,Ft. Pierce,WQCS,FM,88.9,@wqcsnews,,27.4467056,-80.3256056
861,Illinois,Pittsfield,WIPA,FM,89.3,@wqub,,39.6078254,-90.8051289
862,Georgia,Atlanta,WRFG,FM,89.3,@wrfgatlanta,,33.7489954,-84.3879824
863,Louisana,Baton Rouge,WRKF,FM,89.3,@wrkf,,30.4514677,-91.18714659999999
864,Delaware,Dover,WRTX,FM,91.7,@wrtimusic,,39.158168,-75.5243682
865,Kentucky,Georgetown,WRVG,FM,89.9,@wrvg,,38.2097967,-84.55883109999999
866,Maryland,Ocean City,WSDL,FM,90.7,@wscl_wsdl,,38.3365032,-75.0849058
867,Maryland,Salisbury,WSCL,FM,89.5,@wscl_wsdl,,38.3606736,-75.5993692
868,Massachusetts,Sandwich,WSDH,FM,91.5,@WSDHradio,,41.7589615,-70.49393169999999
869,Connecticut,Fairfield,WSHU,FM,91.1,@wshupublicradio,,41.1408363,-73.2612615
870,Connecticut,Westport,WSHU,AM,1260.0,@wshupublicradio,,41.1414717,-73.3579049
871,Illinois,Edwardsville,WSIE,FM,88.7,@wsie887thesound,,38.8114364,-89.95315699999999
872,Illinois,Mt.Vernon,WVSI,FM,88.9,@wsiuradio,,38.3172714,-88.9031201
873,Illinois,Olney,WUSI,FM,90.3,@wsiuradio,,38.7308811,-88.0853154
874,Illinois,Carbondale,WSIU,FM,91.9,@wsiutv,,37.7272727,-89.2167501
875,Florida,Orlando,WUCF,FM,89.9,@wucftv,,28.5383355,-81.3792365
876,Michigan,Bay City,WUCX,FM,90.1,@wucx,,43.5944677,-83.8888647
877,Florida,Inverness,WJUF,FM,90.1,@wuftmedia,,28.8354507,-82.3313955
878,Florida,Gainesville,WUFT,FM,89.1,@wuftnews,,29.6516344,-82.32482619999999
879,Georgia,Athens,WUGA,FM,91.7,@wugafm,,33.9519347,-83.357567
880,Kentucky,Lexington,WUKY,FM,91.3,@wuky,,38.0405837,-84.5037164
881,Massachusetts,Boston,WUMB,FM,91.9,@wumbradio,,42.3600825,-71.0588801
882,Massachusetts,Falmouth,WFPB,FM,91.9,@wumbradio,,41.5532208,-70.60858859999999
883,Massachusetts,Orleans,WFPB,AM,1170.0,@wumbradio,,41.7898354,-69.9897323
884,Massachusetts,Worcester,WBPR,FM,91.9,@wumbradio,,42.2625932,-71.8022934
885,Massachusetts,Newburyport,WNAF,FM,91.7,@wumbradio,,42.8125913,-70.87727509999999
886,Florida,Tampa,WUSF,FM,89.7,@wusf,,27.950575,-82.4571776
887,Florida,Pensacola,WUWF,FM,88.1,@wuwf,,30.42130899999999,-87.2169149
888,Alabama,Montgomery,WVAS,FM,90.7,@WVAS,,32.3668052,-86.2999689
889,Illinois,Rock Island,WVIK,FM,90.3,@wvikfm,,41.5094771,-90.5787476
890,Indiana,Elkhart,WVPE,FM,88.1,@wvpe,,41.6819935,-85.9766671
891,Louisana,New Orleans,WWNO,FM,89.9,@wwno,,29.95106579999999,-90.0715323
892,Louisana,Thibodaux,KTLN,FM,90.5,@wwno,,29.7957633,-90.82287099999999
893,Florida,West Palm Beach,WXEL,FM,90.7,@wxeltv,,26.7153424,-80.0533746
894,Maryland,Baltimore,WYPR,FM,88.1,@wypr881FM,,39.2903848,-76.6121893
895,Maryland,Frostburg,WFWM,FM,91.9,@xfsrfrostburg,,39.6581424,-78.92835699999999
